职位名称,薪资,公司,行业,公司规模,融资阶段,城市,经验要求,学历要求,工作性质,职位描述,薪资下限,薪资上限,薪资中值,主行业,岗位类别
营销数据分析专员,4k-5k,泡单词,"教育,移动互联网",50-150人,天使轮,广州,经验不限,大专及以上,全职,"职位描述
        岗位职责：1. 负责数据采集，进行统计分析处理（用户来源、活跃性、留存/流失率、行为路径、转化率等运营数据）2. 配合市场、营销、运营等部门，不断完善数据的渠道来源、采集的方式及技术手段。3、通过数据处理分析，挖掘有用信息，为市场策划、营销策略及运营管理提供支持；4、负责数据的保管、备份及保密工作；5、完成其他交办的数据分析支持工作。任职要求：1、全日制大专及以上学历，计算机、统计学、数学、信息管理与信息系统等相关专业优先考虑；2、有数据分析经验；3、熟悉EXCEL各类函数以及SQL server数据库软件，能使用SPSS、SAS、HIVE等数据处理工具优先，有建立数据模型工作经验优先；4、关注用户需求，工作态度严谨细致；5、具有严谨的逻辑思维能力，有创新思维，优秀的学习能力、良好的语言表达能力；",4,5,4.5,教育,数据分析
数据分析,3k-4k,赛百威,"移动互联网,电子商务",50-150人,不需要融资,广州,经验不限,大专及以上,全职,"职位描述
        1 大学专科以上学历
2 熟练运用excel
2 细心，对数据分析有浓厚兴趣
3 具备基础英文读写能力
4 有处理过大数据量经验者优先",3,4,3.5,移动互联网,数据分析
数据分析工程师,10k-20k,多益网络,移动互联网,500-2000人,不需要融资,广州,经验1-3年,本科及以上,全职,"职位描述
        工作职责：
 
1.基于Hadoop 平台开发大数据统计分析项目；
2.参与构建大数据分析平台，优化已有的统计分析系统；
3.解决海量数据处理问题和优化，满足业务需求。
 
 
 
职位要求：
工作年限:1年以上

1.计算机/软件工作相关专业，有良好的英文阅读能力；
2.有Hadoop 经验，熟悉map reduce，了解spark；
3.熟悉linux环境，对大数据分析有浓厚兴趣；
4.服从工作安排，良好的沟通能力和团队合作能力；
5.有 mongodb 经验和游戏行业工作经验优先。",10,20,15.0,移动互联网,数据工程
商业数据分析,4k-6k,欧舜港,"O2O,移动互联网",少于15人,未融资,广州,经验1-3年,大专及以上,全职,"职位描述
        岗位职责：
1、通过数据分析支持产品改进及新模式的探索；  
2、构建数据评估体系； 
3、构建业务数据分析体系，帮助确定各项业务数据指标； 
4、负责用户行为数据分析，通过监控及分析，推动产品改进，运营调整； 
5、负责构建用户数据模型，挖掘用户属性及用户喜好等需求，为个性化产品推荐提供支持； 
6、负责构建产品、运营及活动用户行为评估体系，通过数据分析对产品、运营、市场提出建议并推动实施； 
7、负责用户行为调研，通过海量数据的挖掘和分析，形成报告，汇报给决策层，支持战略规划 。
 
岗位要求：
1、统计学、应用数学、计算机等相关专业，本科及以上学历； 
2、熟练掌握多种统计和挖掘方法，熟练使用SPSS、SAS等相关数据分析软件； 
3、较强的数据敏感度，逻辑分析能力和文档写作能力； 
4、有责任心，良好的沟通能力和组织管理能力以及心理承受能力，勇于接受挑战； 
5、有相关经验优先",4,6,5.0,O2O,数据分析
数据分析&数据挖掘,10k-20k,OpenCom,"移动互联网,O2O",15-50人,A轮,广州,经验不限,本科及以上,全职,"职位描述
        岗位职责：
1、收集、整理、统计和分析OpenCom的产品运营数据，并定期输出运营的数据报告；
2、监控、分析用户及客户的APP数据和流量数据，为用户推广或产品运营提供支撑和建议；
3、擅长数据分析及数据挖掘建模，可以提出有利于业绩提升的数学模型，
4、对互联网大数据挖掘、数据分析有一定的研究，并且拥有非常强的自我学习能力、自我激励能力
5、与产品运营经理/产品经理一起，提升网站及社区APP的运营数据指标。查找原因，分析运营方法，提升业绩指标。

 
任职要求：
1、计算机技术、统计学或应用数学等数据分析相关专业本科及以上学历；
2、熟练使用各种数据库及各种数据分析挖掘软件；擅长java、C++、python等脚本语言编程者优先
3、1年以上互联网行业数据分析相关工作经历；
4、良好的数据敏感度，能够独立进行产品运营相关专题分析、报告撰写、汇报等工作；
5、强烈的工作责任心、严谨的工作态度及良好的学习、沟通、逻辑分析能力，有独立开展研究项目经验。",10,20,15.0,移动互联网,算法/挖掘
数据分析,15k-25k,惠民网,电子商务,2000人以上,B轮,北京,经验3-5年,本科及以上,全职,"职位描述
        岗位职责：  
1.负责公司全国供应链的数据收集与复核，确保各项原始数据的真实性和准确性。2.负责公司全国供应链数据统计和数据分析，提高仓储物流准确性和及时性，提供辅助决策。3.负责公司全国供应链体系运行预警与监控。4.负责分析各类数据并针对各类问题提出解决方案与计划。5.负责建立供应链体系日、周、月、季、年度数据分析报表。6.持续改进数据分析模型，推动信息化与精细化管理水平。 
  
任职资格：  
1.正规院校本科以上学历，数学、统计学、经济学、计算机专业。2.三年以上企业咨询或数据分析经验。3.思维敏捷、逻辑清晰。5.精通R/SAS/SPSS/excel/SQL中至少一种分析工具。6.出色的表达能力，文档写作能力和业务分析表现能力。7.能适应加班，独立工作能力强，能承受较大工作压力。8.有物流行业经验者优先。 ",15,25,20.0,电子商务,数据分析
数据分析,18k-35k,北京神州微融金融信息服务有限公司,金融,50-150人,A轮,北京,经验3-5年,本科及以上,全职,"职位描述
        基本技能要求
1、统计学、数学或计算机、数理统计或数据挖掘专业方向相关专业大学本科以上学历；
2、互联网3年以上数据分析、数据挖掘经验；熟悉R和Python
3、对银行业、小额贷款行业、互联网金融、消费金融风险管理有一定的认知和实践者尤佳；
4、熟练使用数理统计、数据分析、数据挖掘工具软件（如R、Python、SPSS、SAS、MATLAB、EXCEL、EVIEW等），熟练使用SQL；
 
岗位要求
1．岗位1:数据清洗
了解数据抽取、清洗、转换、装载全过程，对数据具有一定的敏感性，尤其针对金融、贷款方向类数据；
善于总结归纳数据规律，制定数据标准；
了解ETL工具，DataStage/ Informactica/Kettle等；
具有扎实的计算机编程基础和较强的算法思维，熟悉JAVA者优先。
 
2．岗位2:评分卡(风险模型)开发
善于通过数据挖掘分析和量化技术对信用风险、市场响应、生命周期为主的各类主题进行量化分析，参与过传统个贷、信用卡、小贷、消费金融量化评分卡开发全过程者尤佳；
构建信用评分模型、行为评分模型、催收模型、风险定价模型等,针对申请客户,使用历史数据,运用数理统计的方法,选取对客户信用风险影响较大的物理特征变量,构建评分模型，以应用于对申请客户的审批工作，以管理违约率、提高审批效率；
针对存量客户资源、通过评分卡进行客户贡献度区分，从而设定不同的费用及流程，科学性地控制续贷客户风险并使利润最大化。
 
3．岗位3:风险策略设计
有过风控相关的工作经验
 
4．岗位4:模型和策略监控(压力测试)
持续监控与验证模型实施后的性能和应用效果, 熟悉评分卡技术中的常见技术指标，PSI、Lorentz、KS、DIV等，结合具体的账户表现，给出模型和策略调整的建议；
能独立制定模型及策略的监控报表体系，从多维度对账户表现进行跟踪和把握；
对模型和评分进行压力测试；
利用风险模型的排序与预测性能，制定客户准入、额度管控、催收管理等场景的应用策略，实现风险量化管理。",18,35,26.5,金融,数据分析
数据分析,5k-8k,亚宝药业,"医疗健康,其他",500-2000人,上市公司,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：

1.负责销售产品数据分析及竞品数据采集、统计、评估与分析，并编制报表；
2.整理客户资料，分析客户属性和对渠道销量的分析；
3.销售数据分析建立，规范、优化数据分析报表，并按时下发给相关人员；
4.建立部门周、月、季、年度数据分析报表；
5.研究数据的分析方法，做到报表制作简单、方便、实用；
6.协助上级完成各项工作任务指标，详细了解公司各项销售管理政策。

岗位要求：
1.精通EXCEL、有一定文字功底和写作能力；
2.语言表达能力强，善于沟通交流；
3.有医药从业经验的人员优先考虑。",5,8,6.5,医疗健康,数据分析
数据分析,8k-15k,一起作业网,"移动互联网,教育",500-2000人,D轮及以上,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
1、能够理解数据分析和统计的需求，与产品、运营协作，完成业务产品经理的数据统计和分析支持工作。
2、负责平台产品数据分析，定期完成日、周、月、季报等数据报告工作；
3、负责产品数据分析体系的构建；
4、有数据库的熟练的使用经验，包括但不限于熟练使用sql，程序设计的习惯和能力好
任职要求：
1、本科（含）以上学历
2、一年以上互联网数据分析经验
3、具备一定的文档能力，能够独立完成数据分析报告的撰写；
4、具有一定的数据报表后台的开发经验；
5、熟练使用Excel、PPT以及相关办公软件",8,15,11.5,移动互联网,数据分析
数据分析,6k-10k,北京捷越联合,金融,2000人以上,不需要融资,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责:岗位名称：授信评审中心-数据分析员岗位职责:1、负责授信评审中心及授信评审中心相关的SAS报表开发及需求相关工作;2、负责授信业务的数据统计分析、风险跟踪监控、为授信政策的制定和调整提供数据支持；3、负责行业研究分析工作，并从数据角度指导授信政策制定；4、负责授信业务政策分析报告的撰写；5、负责征信系统与授信政策相关的策略调整工作。
任职资格:任职资格:1、统招全日制本科及以上学历，金融学、数学、统计学、金融工程、计算机等相关专业背景优先考虑；2、对风险管理有一定的认知，具备扎实的数据和统计学知识及一定的数理分析能力，掌握SAS、VBA、R、MatLab等某一分析软件； 3、思路开阔、灵活，具有较强的学习与探索能力，能够独立、积极、主动发现业务问题，并善于与团队表达自己对业务的想法；4、具有较强的定性、定量分析能力，具有准确把握政策的能力，责任心强，有良好的合作精神，沟通能力较强；5、熟练掌握常用办公软件，具有良好的沟通能力。工作时间：弹性工作制：9：00-6：00或9：30-6：30，周末双休",6,10,8.0,金融,数据分析
